[judge-lab] 1/6 full-majority N=1699 p=0.4497 auroc=0.8070827617101101
[judge-lab] 2/6 thin-p05-majority N=984 p=0.0498 auroc=0.8025755756848194
[judge-lab] 3/6 thin-p02-majority N=954 p=0.0199 auroc=0.7889389248522376
[judge-lab] 4/6 full-conservative N=1699 p=0.6828 auroc=0.791902309513147
[judge-lab] 5/6 thin-p05-conservative N=567 p=0.0494 auroc=0.8170553935860059
[judge-lab] 6/6 thin-p02-conservative N=550 p=0.0200 auroc=0.8365660313712262
judge-lab seed=judge-bound-lab-v0 reps=2000 joined=1699 auroc_majority=0.8070827617101101
populations
pop_id                |    N | true_p |  auroc
----------------------+------+--------+-------
full-majority         | 1699 | 0.4497 | 0.8071
thin-p05-majority     |  984 | 0.0498 | 0.8026
thin-p02-majority     |  954 | 0.0199 | 0.7889
full-conservative     | 1699 | 0.6828 | 0.7919
thin-p05-conservative |  567 | 0.0494 | 0.8171
thin-p02-conservative |  550 | 0.0200 | 0.8366
coverage (usable iff coverage >= 0.95)
pop                   |   n |                      est |  cover | mean_ucb | usable
----------------------+-----+--------------------------+--------+----------+-------
full-majority         |  30 |       srs-hypergeometric | 0.9670 |   0.6088 |   True
full-majority         |  30 |        rogan-gladen-boot | 0.9595 |   0.7971 |   True
full-majority         |  30 |       calibrated-fnr-fpr | 1.0000 |   0.9669 |   True
full-majority         |  30 | strat-judge-proportional | 0.9990 |   0.6875 |   True
full-majority         |  30 |   strat-judge-flag-heavy | 1.0000 |   0.7212 |   True
full-majority         |  30 |              ppi++-judge | 0.9365 |   0.5760 |  False
full-majority         |  50 |       srs-hypergeometric | 0.9670 |   0.5740 |   True
full-majority         |  50 |        rogan-gladen-boot | 0.9490 |   0.7141 |  False
full-majority         |  50 |       calibrated-fnr-fpr | 1.0000 |   0.8984 |   True
full-majority         |  50 | strat-judge-proportional | 0.9980 |   0.6327 |   True
full-majority         |  50 |   strat-judge-flag-heavy | 1.0000 |   0.6599 |   True
full-majority         |  50 |              ppi++-judge | 0.9480 |   0.5492 |  False
full-majority         | 100 |       srs-hypergeometric | 0.9600 |   0.5354 |   True
full-majority         | 100 |        rogan-gladen-boot | 0.9500 |   0.6213 |   True
full-majority         | 100 |       calibrated-fnr-fpr | 0.9990 |   0.7654 |   True
full-majority         | 100 | strat-judge-proportional | 0.9985 |   0.5801 |   True
full-majority         | 100 |   strat-judge-flag-heavy | 0.9990 |   0.5932 |   True
full-majority         | 100 |              ppi++-judge | 0.9540 |   0.5219 |   True
full-majority         | 200 |       srs-hypergeometric | 0.9630 |   0.5067 |   True
full-majority         | 200 |        rogan-gladen-boot | 0.9565 |   0.5622 |   True
