=== seta sample 2026-09-14T01:00:45-04:00
[generator_gate] materialized SETA_Synth/kaggle_notebook__ryanholbrook_exercise-forecasting-with-machine-learning -> /home/evan/gen-sets/seta/SETA_Synth/kaggle_notebook__ryanholbrook_exercise-forecasting-with-machine-learning
[generator_gate] materialized SETA_Evolve/ask_ubuntu__1062__d1 -> /home/evan/gen-sets/seta/SETA_Evolve/ask_ubuntu__1062__d1
[generator_gate] materialized SETA_Synth/ask_ubuntu__466 -> /home/evan/gen-sets/seta/SETA_Synth/ask_ubuntu__466
[generator_gate] materialized SETA_Evolve/kaggle_notebook__nsrose7224_random-forest-regressor-accuracy-0-91__b1 -> /home/evan/gen-sets/seta/SETA_Evolve/kaggle_notebook__nsrose7224_random-forest-regressor-accuracy-0-91__b1
[generator_gate] materialized SETA_Synth/stack_overflow__491376 -> /home/evan/gen-sets/seta/SETA_Synth/stack_overflow__491376
[generator_gate] materialized SETA_Synth/stack_overflow__50392783 -> /home/evan/gen-sets/seta/SETA_Synth/stack_overflow__50392783
[generator_gate] materialized SETA_Synth/ask_ubuntu__559 -> /home/evan/gen-sets/seta/SETA_Synth/ask_ubuntu__559
[generator_gate] materialized SETA_Synth/stack_overflow__1013493 -> /home/evan/gen-sets/seta/SETA_Synth/stack_overflow__1013493
[generator_gate] materialized SETA_Synth/kaggle_notebook__melissamonfared_car-price-prediction-eda-linear-regression -> /home/evan/gen-sets/seta/SETA_Synth/kaggle_notebook__melissamonfared_car-price-prediction-eda-linear-regression
[generator_gate] materialized SETA_Evolve/unix_linux_se__3568__b1 -> /home/evan/gen-sets/seta/SETA_Evolve/unix_linux_se__3568__b1
[generator_gate] materialized SETA_Synth/nl2bash__581 -> /home/evan/gen-sets/seta/SETA_Synth/nl2bash__581
[generator_gate] materialized SETA_Synth/nl2bash__641 -> /home/evan/gen-sets/seta/SETA_Synth/nl2bash__641
[generator_gate] materialized SETA_Synth/stack_overflow__54307225 -> /home/evan/gen-sets/seta/SETA_Synth/stack_overflow__54307225
[generator_gate] materialized SETA_Evolve/ask_ubuntu__160__d1 -> /home/evan/gen-sets/seta/SETA_Evolve/ask_ubuntu__160__d1
[generator_gate] materialized SETA_Evolve/ask_ubuntu__822__d1 -> /home/evan/gen-sets/seta/SETA_Evolve/ask_ubuntu__822__d1
[generator_gate] materialized SETA_Evolve/ask_ubuntu__915__b1 -> /home/evan/gen-sets/seta/SETA_Evolve/ask_ubuntu__915__b1
[generator_gate] materialized SETA_Synth/ask_ubuntu__657 -> /home/evan/gen-sets/seta/SETA_Synth/ask_ubuntu__657
[generator_gate] materialized SETA_Synth/ask_ubuntu__289 -> /home/evan/gen-sets/seta/SETA_Synth/ask_ubuntu__289
[generator_gate] materialized SETA_Evolve/ask_ubuntu__301__b1 -> /home/evan/gen-sets/seta/SETA_Evolve/ask_ubuntu__301__b1
[generator_gate] materialized SETA_Evolve/ask_ubuntu__1127__b1 -> /home/evan/gen-sets/seta/SETA_Evolve/ask_ubuntu__1127__b1
[generator_gate] materialized SETA_Evolve/ask_ubuntu__1079__d1 -> /home/evan/gen-sets/seta/SETA_Evolve/ask_ubuntu__1079__d1
[generator_gate] materialized SETA_Synth/stack_overflow__31201164 -> /home/evan/gen-sets/seta/SETA_Synth/stack_overflow__31201164
[generator_gate] materialized SETA_Synth/ask_ubuntu__381 -> /home/evan/gen-sets/seta/SETA_Synth/ask_ubuntu__381
[generator_gate] materialized SETA_Synth/kaggle_notebook__prashant111_comprehensive-guide-on-feature-selection -> /home/evan/gen-sets/seta/SETA_Synth/kaggle_notebook__prashant111_comprehensive-guide-on-feature-selection
[generator_gate] materialized SETA_Synth/stack_overflow__41837767_1 -> /home/evan/gen-sets/seta/SETA_Synth/stack_overflow__41837767_1
[generator_gate] materialized SETA_Synth/stack_overflow__52625307 -> /home/evan/gen-sets/seta/SETA_Synth/stack_overflow__52625307
[generator_gate] materialized SETA_Evolve/unix_linux_se__3052__b1 -> /home/evan/gen-sets/seta/SETA_Evolve/unix_linux_se__3052__b1
[generator_gate] materialized SETA_Synth/kaggle_notebook__nareshbhat_starter-guide-to-build-nlp-ml-model-in-pycaret -> /home/evan/gen-sets/seta/SETA_Synth/kaggle_notebook__nareshbhat_starter-guide-to-build-nlp-ml-model-in-pycaret
[generator_gate] materialized SETA_Synth/kaggle_notebook__ryanholbrook_exercise-linear-regression-with-time-series -> /home/evan/gen-sets/seta/SETA_Synth/kaggle_notebook__ryanholbrook_exercise-linear-regression-with-time-series
[generator_gate] materialized SETA_Synth/kaggle_notebook__marcovasquez_top-machine-learning-algorithms-beginner -> /home/evan/gen-sets/seta/SETA_Synth/kaggle_notebook__marcovasquez_top-machine-learning-algorithms-beginner
[generator_gate] materialized SETA_Synth/ask_ubuntu__785 -> /home/evan/gen-sets/seta/SETA_Synth/ask_ubuntu__785
[generator_gate] materialized SETA_Synth/nl2bash__720 -> /home/evan/gen-sets/seta/SETA_Synth/nl2bash__720
[generator_gate] materialized SETA_Synth/stack_overflow__3988788 -> /home/evan/gen-sets/seta/SETA_Synth/stack_overflow__3988788
[generator_gate] materialized SETA_Evolve/ask_ubuntu__549__b1 -> /home/evan/gen-sets/seta/SETA_Evolve/ask_ubuntu__549__b1
[generator_gate] materialized SETA_Evolve/ask_ubuntu__1144__d1 -> /home/evan/gen-sets/seta/SETA_Evolve/ask_ubuntu__1144__d1
[generator_gate] materialized SETA_Synth/nl2bash__678 -> /home/evan/gen-sets/seta/SETA_Synth/nl2bash__678
[generator_gate] materialized SETA_Synth/ask_ubuntu__1374 -> /home/evan/gen-sets/seta/SETA_Synth/ask_ubuntu__1374
[generator_gate] materialized SETA_Synth/nl2bash__730 -> /home/evan/gen-sets/seta/SETA_Synth/nl2bash__730
[generator_gate] materialized SETA_Evolve/ask_ubuntu__737__b1 -> /home/evan/gen-sets/seta/SETA_Evolve/ask_ubuntu__737__b1
[generator_gate] materialized SETA_Synth/stack_overflow__6833147 -> /home/evan/gen-sets/seta/SETA_Synth/stack_overflow__6833147
[generator_gate] materialized SETA_Synth/kaggle_notebook__minanabil11111212_heart-disease-logistics-regression-model -> /home/evan/gen-sets/seta/SETA_Synth/kaggle_notebook__minanabil11111212_heart-disease-logistics-regression-model
[generator_gate] materialized SETA_Synth/stack_overflow__34125 -> /home/evan/gen-sets/seta/SETA_Synth/stack_overflow__34125
[generator_gate] materialized SETA_Evolve/stack_overflow__12575990__d1 -> /home/evan/gen-sets/seta/SETA_Evolve/stack_overflow__12575990__d1
[generator_gate] materialized SETA_Synth/ask_ubuntu__397 -> /home/evan/gen-sets/seta/SETA_Synth/ask_ubuntu__397
[generator_gate] materialized SETA_Evolve/stack_overflow__61690632__b1 -> /home/evan/gen-sets/seta/SETA_Evolve/stack_overflow__61690632__b1
[generator_gate] materialized SETA_Synth/unix_linux_se__4034 -> /home/evan/gen-sets/seta/SETA_Synth/unix_linux_se__4034
[generator_gate] materialized SETA_Synth/kaggle_notebook__foxtreme_linear-regression-practice -> /home/evan/gen-sets/seta/SETA_Synth/kaggle_notebook__foxtreme_linear-regression-practice
[generator_gate] materialized SETA_Synth/ask_ubuntu__82 -> /home/evan/gen-sets/seta/SETA_Synth/ask_ubuntu__82
[generator_gate] materialized SETA_Evolve/stack_overflow__750032__b1 -> /home/evan/gen-sets/seta/SETA_Evolve/stack_overflow__750032__b1
[generator_gate] materialized SETA_Evolve/stack_overflow__471026__b1 -> /home/evan/gen-sets/seta/SETA_Evolve/stack_overflow__471026__b1
[generator_gate] materialized SETA_Synth/ask_ubuntu__196 -> /home/evan/gen-sets/seta/SETA_Synth/ask_ubuntu__196
[generator_gate] materialized SETA_Synth/kaggle_notebook__ilhansevval_llm-preprocessing-catboost -> /home/evan/gen-sets/seta/SETA_Synth/kaggle_notebook__ilhansevval_llm-preprocessing-catboost
[generator_gate] materialized SETA_Synth/unix_linux_se__459074 -> /home/evan/gen-sets/seta/SETA_Synth/unix_linux_se__459074
[generator_gate] materialized SETA_Synth/unix_linux_se__28363 -> /home/evan/gen-sets/seta/SETA_Synth/unix_linux_se__28363
[generator_gate] materialized SETA_Evolve/kaggle_notebook__markuslill_s3e26-xgbclassifer__b1 -> /home/evan/gen-sets/seta/SETA_Evolve/kaggle_notebook__markuslill_s3e26-xgbclassifer__b1
[generator_gate] materialized SETA_Evolve/ask_ubuntu__858__b1 -> /home/evan/gen-sets/seta/SETA_Evolve/ask_ubuntu__858__b1
[generator_gate] materialized SETA_Evolve/kaggle_notebook__heeraldedhia_exploratory-data-analysis-in-r__d1 -> /home/evan/gen-sets/seta/SETA_Evolve/kaggle_notebook__heeraldedhia_exploratory-data-analysis-in-r__d1
[generator_gate] materialized SETA_Evolve/ask_ubuntu__988__b1 -> /home/evan/gen-sets/seta/SETA_Evolve/ask_ubuntu__988__b1
[generator_gate] materialized SETA_Synth/stack_overflow__7993082 -> /home/evan/gen-sets/seta/SETA_Synth/stack_overflow__7993082
[generator_gate] materialized SETA_Synth/ask_ubuntu__1375 -> /home/evan/gen-sets/seta/SETA_Synth/ask_ubuntu__1375
[generator_gate] materialized SETA_Synth/nl2bash__978 -> /home/evan/gen-sets/seta/SETA_Synth/nl2bash__978
[generator_gate] materialized SETA_Evolve/ask_ubuntu__1000__b1 -> /home/evan/gen-sets/seta/SETA_Evolve/ask_ubuntu__1000__b1
[generator_gate] materialized SETA_Evolve/ask_ubuntu__1192__b1 -> /home/evan/gen-sets/seta/SETA_Evolve/ask_ubuntu__1192__b1
[generator_gate] materialized SETA_Evolve/ask_ubuntu__505__b1 -> /home/evan/gen-sets/seta/SETA_Evolve/ask_ubuntu__505__b1
[generator_gate] materialized SETA_Evolve/ask_ubuntu__798__b1 -> /home/evan/gen-sets/seta/SETA_Evolve/ask_ubuntu__798__b1
[generator_gate] materialized SETA_Evolve/ask_ubuntu__728__d1 -> /home/evan/gen-sets/seta/SETA_Evolve/ask_ubuntu__728__d1
[generator_gate] materialized SETA_Evolve/ask_ubuntu__1349__d1 -> /home/evan/gen-sets/seta/SETA_Evolve/ask_ubuntu__1349__d1
[generator_gate] materialized SETA_Synth/kaggle_notebook__arthurtok_decision-boundaries-visualised-via-python-plotly -> /home/evan/gen-sets/seta/SETA_Synth/kaggle_notebook__arthurtok_decision-boundaries-visualised-via-python-plotly
[generator_gate] materialized SETA_Synth/kaggle_notebook__abdmental01_heart-disease-prediction-binary-classification -> /home/evan/gen-sets/seta/SETA_Synth/kaggle_notebook__abdmental01_heart-disease-prediction-binary-classification
[generator_gate] materialized SETA_Synth/stack_overflow__18546321 -> /home/evan/gen-sets/seta/SETA_Synth/stack_overflow__18546321
[generator_gate] materialized SETA_Synth/stack_overflow__23853553 -> /home/evan/gen-sets/seta/SETA_Synth/stack_overflow__23853553
[generator_gate] materialized SETA_Synth/ask_ubuntu__275 -> /home/evan/gen-sets/seta/SETA_Synth/ask_ubuntu__275
[generator_gate] materialized SETA_Synth/stack_overflow__9275840 -> /home/evan/gen-sets/seta/SETA_Synth/stack_overflow__9275840
[generator_gate] materialized SETA_Evolve/ask_ubuntu__1320__d1 -> /home/evan/gen-sets/seta/SETA_Evolve/ask_ubuntu__1320__d1
[generator_gate] materialized SETA_Synth/stack_overflow__6101956 -> /home/evan/gen-sets/seta/SETA_Synth/stack_overflow__6101956
[generator_gate] materialized SETA_Synth/stack_overflow__18320051 -> /home/evan/gen-sets/seta/SETA_Synth/stack_overflow__18320051
[generator_gate] materialized SETA_Synth/stack_overflow__1816673 -> /home/evan/gen-sets/seta/SETA_Synth/stack_overflow__1816673
[generator_gate] materialized SETA_Synth/stack_overflow__1049210 -> /home/evan/gen-sets/seta/SETA_Synth/stack_overflow__1049210
[generator_gate] materialized SETA_Synth/unix_linux_se__121413 -> /home/evan/gen-sets/seta/SETA_Synth/unix_linux_se__121413
[generator_gate] materialized SETA_Synth/ask_ubuntu__497 -> /home/evan/gen-sets/seta/SETA_Synth/ask_ubuntu__497
[generator_gate] materialized SETA_Evolve/ask_ubuntu__1118__d1 -> /home/evan/gen-sets/seta/SETA_Evolve/ask_ubuntu__1118__d1
[generator_gate] materialized SETA_Evolve/ask_ubuntu__1350__d1 -> /home/evan/gen-sets/seta/SETA_Evolve/ask_ubuntu__1350__d1
[generator_gate] materialized SETA_Synth/ask_ubuntu__1111 -> /home/evan/gen-sets/seta/SETA_Synth/ask_ubuntu__1111
[generator_gate] materialized SETA_Evolve/unix_linux_se__15138__d1 -> /home/evan/gen-sets/seta/SETA_Evolve/unix_linux_se__15138__d1
[generator_gate] materialized SETA_Synth/unix_linux_se__10362 -> /home/evan/gen-sets/seta/SETA_Synth/unix_linux_se__10362
